 ;September 19, 2018;September 27, 2018;October 01, 2018;October 04, 2018;October 08, 2018;October 10, 2018
patolala;64511;76253;84452;88021;93962;98330
AJ1909;n/a;4489;7893;9428;n/a;13887
Frank;n/a;23508;29977;32863;37685;43745
Suave;n/a;20185;23579;25146;28597;30345
ThierImManne;n/a;8506;12181;12181;12934;17340
Tomasz;12117;22688;32229;34303;42381;49179
rgdark2609;22804;27587;31873;33177;36950;39029
Windukeit;42391;49546;52210;52951;53946;57145
Syronir;20169;21274;21274;21566;23587;25126
Player 8b2;13031;16248;17755;17890;20448;21977
ChrisKing;17976;21582;25393;26009;27553;28736
JenFee;17468;18500;18500;18696;19977;21425
D-Bone;22357;25807;28392;29525;31651;33974
Nosica;6333;6663;6663;6663;6663;6663
SCOOP;27091;32071;35733;36650;37592;40840
Phoenix;12747;17593;21496;22827;25848;26664
Player c4d;62501;78946;92198;96307;108198;116288
Real-P;12511;13811;13811;14435;15582;17320
Mongo;23040;28357;31861;32461;35790;40736
Verbeuler;15989;17402;18890;18890;19537;20345
Mcleon;4914;4914;4914;4914;n/a;n/a
Paladyne;826;826;826;826;n/a;n/a
Knatata;49551;n/a;58926;60344;60766;62390
atkh21;65285;73662;79347;83009;87146;91107
Unknownhasi;n/a;n/a;n/a;n/a;1265;2060
