 ;September 19, 2018;September 27, 2018;October 01, 2018;October 04, 2018;October 08, 2018;October 10, 2018
patolala;1314;1430;1557;1636;1755;1798
AJ1909;n/a;35;89;95;137;150
Frank;n/a;377;531;587;677;754
Suave;n/a;813;899;926;1114;1146
ThierImManne;n/a;113;306;306;317;511
Tomasz;430;754;1023;1069;1544;1650
rgdark2609;420;504;551;580;625;654
Windukeit;729;811;840;847;853;875
Syronir;309;315;315;315;361;361
Player 8b2;230;275;287;287;333;351
ChrisKing;389;450;508;508;523;541
JenFee;126;143;143;143;149;160
D-Bone;233;255;371;436;465;495
Nosica;55;55;55;55;55;55
SCOOP;444;482;525;530;541;579
Phoenix;171;207;260;279;289;289
Player c4d;1166;1340;1487;1538;1787;1873
Real-P;218;247;247;251;256;272
Mongo;537;606;631;631;719;822
Verbeuler;268;284;302;302;308;308
Mcleon;119;119;119;119;n/a;n/a
Paladyne;118;118;118;118;n/a;n/a
Knatata;875;n/a;987;1002;1002;1012
atkh21;1296;1389;1446;1509;1573;1598
Unknownhasi;n/a;n/a;n/a;n/a;0;n/a
