 ;September 19, 2018;September 27, 2018;October 01, 2018;October 04, 2018;October 08, 2018;October 10, 2018
patolala;6622;7553;8233;8549;9090;9434
AJ1909;n/a;585;929;1138;1408;1580
Frank;n/a;2820;3356;3611;3970;4472
Suave;n/a;2480;2754;2902;3259;3458
ThierImManne;n/a;1057;1430;1430;1466;1898
Tomasz;1515;2618;3512;3706;4375;4948
rgdark2609;2329;2766;3151;3263;3568;3731
Windukeit;4290;4906;5113;5168;5241;5444
Syronir;1768;1860;1860;1886;2020;2123
Player 8b2;1294;1573;1675;1680;1883;1989
ChrisKing;1995;2298;2584;2617;2711;2785
JenFee;1657;1737;1737;1745;1832;1930
D-Bone;2312;2629;2840;2945;3158;3336
Nosica;820;829;829;829;829;829
SCOOP;3108;3600;3882;3981;4070;4364
Phoenix;1563;2033;2437;2567;2889;2939
Player c4d;7083;8640;9793;10140;11093;11759
Real-P;1358;1465;1465;1509;1577;1717
Mongo;2902;3259;3539;3590;3866;4229
Verbeuler;1472;1555;1621;1621;1665;1710
Mcleon;486;486;486;486;n/a;n/a
Paladyne;603;603;603;603;n/a;n/a
Knatata;4629;n/a;5340;5433;5453;5532
atkh21;5862;6489;6907;7158;7473;7734
Unknownhasi;n/a;n/a;n/a;n/a;174;289
