 ;September 19, 2018;September 27, 2018;October 01, 2018;October 04, 2018;October 08, 2018;October 10, 2018
patolala;7047;8002;8736;9061;9631;9995
AJ1909;n/a;598;948;1158;1431;1603
Frank;n/a;2893;3465;3732;4111;4628
Suave;n/a;2601;2898;3061;3466;3684
ThierImManne;n/a;1105;1504;1504;1541;1986
Tomasz;1542;2660;3590;3792;4478;5069
rgdark2609;2712;3237;3676;3806;4131;4315
Windukeit;4625;5270;5484;5550;5631;5847
Syronir;1867;1972;1972;2002;2141;2248
Player 8b2;1394;1686;1793;1798;2008;2122
ChrisKing;2155;2465;2773;2806;2906;2985
JenFee;1746;1828;1828;1836;1929;2027
D-Bone;2614;2955;3193;3306;3524;3713
Nosica;872;881;881;881;881;881
SCOOP;3230;3737;4031;4130;4224;4532
Phoenix;1623;2100;2517;2655;2993;3047
Player c4d;7574;9165;10338;10698;11685;12371
Real-P;1428;1540;1540;1585;1656;1796
Mongo;2963;3326;3614;3669;3954;4331
Verbeuler;1695;1784;1866;1866;1920;1968
Mcleon;555;555;555;555;n/a;n/a
Paladyne;642;642;642;642;n/a;n/a
Knatata;4926;n/a;5652;5745;5765;5845
atkh21;6209;6860;7285;7543;7873;8158
Unknownhasi;n/a;n/a;n/a;n/a;180;304
