 ;September 19, 2018;September 27, 2018;October 01, 2018;October 04, 2018;October 08, 2018;October 10, 2018
patolala;202055;227243;242652;251296;268924;283357
AJ1909;n/a;9854;15985;20453;25024;28464
Frank;n/a;90415;112574;122281;134834;149333
Suave;n/a;71930;83310;88532;105241;113958
ThierImManne;n/a;31028;44926;44926;46579;64460
Tomasz;23097;40752;54366;58338;73036;86638
rgdark2609;81985;95907;104908;107857;115101;120213
Windukeit;151349;174567;183979;186975;191863;205687
Syronir;57341;60753;60753;62004;65824;68690
Player 8b2;47390;59767;62627;62684;71772;75582
ChrisKing;54547;63922;74109;75211;77932;80048
JenFee;50013;53436;53436;53733;58114;62323
D-Bone;77965;89601;97815;101678;107662;113946
Nosica;24306;24575;24575;24575;24575;24575
SCOOP;91324;103728;108695;112088;115248;125486
Phoenix;40939;56835;69777;74254;87529;90346
Player c4d;281238;342783;383199;396625;433718;456815
Real-P;33529;36143;36143;37043;39222;45045
Mongo;98035;113081;126317;129293;138094;149832
Verbeuler;76811;81604;86300;86300;89712;91776
Mcleon;15690;15690;15690;15690;n/a;n/a
Paladyne;;;;;n/a;n/a
Knatata;139718;n/a;160799;162937;163386;165597
atkh21;154590;173853;183479;190231;200228;212142
Unknownhasi;n/a;n/a;n/a;n/a;4047;8692
