 ;September 19, 2018;September 27, 2018;October 01, 2018;October 04, 2018;October 08, 2018;October 10, 2018
patolala;2562;2923;3150;3276;3439;3541
AJ1909;n/a;367;600;840;986;1090
Frank;n/a;1684;1995;2139;2324;2614
Suave;n/a;1277;1393;1412;1593;1712
ThierImManne;n/a;432;647;647;660;934
Tomasz;951;1554;2124;2241;2750;2999
rgdark2609;750;849;951;971;1025;1074
Windukeit;1430;1678;1741;1756;1765;1797
Syronir;793;840;840;855;906;947
Player 8b2;330;424;443;444;501;528
ChrisKing;910;1023;1106;1112;1140;1163
JenFee;987;1046;1046;1052;1086;1123
D-Bone;1327;1452;1572;1638;1730;1784
Nosica;491;493;493;493;493;493
SCOOP;1240;1400;1463;1480;1503;1591
Phoenix;615;777;910;955;1078;1093
Player c4d;3432;4179;4816;5000;5422;5740
Real-P;659;728;728;747;794;875
Mongo;1523;1591;1634;1646;1705;1844
Verbeuler;174;185;199;199;206;229
Mcleon;153;153;153;153;n/a;n/a
Paladyne;1 1769;1 1769;1 1769;1 1769;n/a;n/a
Knatata;1365;n/a;1613;1642;1660;1703
atkh21;2059;2293;2441;2507;2593;2672
Unknownhasi;n/a;n/a;n/a;n/a;25;46
