 ;September 19, 2018;September 27, 2018;October 01, 2018;October 04, 2018;October 08, 2018;October 10, 2018
patolala;2319;2575;2741;2820;2977;3040
AJ1909;n/a;199;266;365;11972;522
Frank;n/a;1577;1768;1895;2033;2242
Suave;n/a;935;999;1059;1173;1275
ThierImManne;n/a;407;501;501;505;669
Tomasz;653;1106;1377;1426;1603;1796
rgdark2609;692;799;902;915;977;1000
Windukeit;1314;1509;1563;1574;1579;1585
Syronir;276;277;277;278;294;310
Player 8b2;417;530;556;556;614;642
ChrisKing;581;656;696;706;718;723
JenFee;531;560;560;564;585;625
D-Bone;765;887;935;969;1036;1058
Nosica;232;232;232;232;232;232
SCOOP;1094;1216;1265;1284;1307;1373
Phoenix;457;645;781;837;957;965
Player c4d;3463;4370;5005;5186;5606;5943
Real-P;352;382;382;396;411;450
Mongo;1052;1122;1177;1186;1236;1329
Verbeuler;226;234;243;243;248;259
Mcleon;88;88;88;88;n/a;n/a
Paladyne;5943;5943;5943;5943;n/a;n/a
Knatata;1380;n/a;1585;1611;1619;1636
atkh21;1968;2132;2245;2304;2374;2404
Unknownhasi;n/a;n/a;n/a;n/a;34;62
