 ;September 19, 2018;September 27, 2018;October 01, 2018;October 04, 2018;October 08, 2018;October 16, 2018
patolala;2528;2735;2796;2816;2881;2996
AJ1909;n/a;435;557;717;814;1054
Frank;n/a;1231;1553;1654;1795;2325
Suave;n/a;1453;1725;1738;1789;1959
ThierImManne;n/a;1038;1289;1289;1359;1700
Tomasz;1199;1804;2024;2128;2302;2632
rgdark2609;2181;2224;2387;2418;2475;2488
Windukeit;2252;2413;2413;2413;2457;2582
Syronir;1755;1764;1764;1764;1790;1942
Player 8b2;1729;1792;1825;1825;1946;2194
ChrisKing;1302;1580;1601;1601;1691;1753
JenFee;1989;2028;2028;2038;2127;2127
D-Bone;2175;2232;2390;2426;2434;2555
Nosica;994;1066;1066;1066;1066;1066
SCOOP;1952;2157;2178;2178;2204;2336
Phoenix;982;1292;1305;1305;1471;1560
Player c4d;2102;2236;2367;2375;2422;2547
Real-P;1591;1743;1743;1743;1811;1919
Mongo;1854;2452;2661;2661;2739;2797
Verbeuler;1750;1926;2048;2048;2063;2089
Mcleon;1025;1025;1025;1025;n/a;n/a
Paladyne;157;157;157;157;n/a;n/a
Knatata;2301;n/a;2625;2642;2642;2757
atkh21;2445;2557;2598;2713;2845;2971
Unknownhasi;n/a;n/a;n/a;n/a;335;517
