 ;September 19, 2018;September 27, 2018;October 01, 2018;October 04, 2018;October 08, 2018;October 10, 2018
patolala;1767;1827;1857;1867;1923;1923
AJ1909;n/a;652;849;944;990;1060
Frank;n/a;1220;1385;1420;1554;1567
Suave;n/a;1237;1282;1292;1315;1315
ThierImManne;n/a;891;1033;1033;1033;1072
Tomasz;954;1371;1509;1522;1566;1566
rgdark2609;1444;1520;1604;1604;1662;1675
Windukeit;1436;1496;1538;1538;1561;1587
Syronir;1212;1258;1258;1258;1347;1386
Player 8b2;1159;1189;1221;1221;1231;1231
ChrisKing;1157;1209;1292;1305;1329;1329
JenFee;1134;1134;1134;1134;1144;1144
D-Bone;1366;1399;1424;1424;1452;1478
Nosica;938;938;938;938;938;938
SCOOP;1270;1325;1474;1498;1506;1607
Phoenix;992;1056;1386;1414;1434;1434
Player c4d;1197;1301;1374;1384;1404;1404
Real-P;954;979;979;979;979;1039
Mongo;1201;1259;1305;1305;1384;1494
Verbeuler;1084;1084;1097;1097;1097;1110
Mcleon;815;815;815;815;n/a;n/a
Paladyne;776;776;776;776;n/a;n/a
Knatata;1417;n/a;1564;1587;1587;1587
atkh21;1778;1801;1866;1889;1923;1923
Unknownhasi;n/a;n/a;n/a;n/a;201;211
