 ;September 19, 2018;September 27, 2018;October 01, 2018;October 04, 2018;October 08, 2018;October 10, 2018
patolala;63609;73120;80272;83353;89102;92872
AJ1909;n/a;4879;8128;10223;12949;14673
Frank;n/a;24971;30103;32513;36003;40827
Suave;n/a;20786;23552;25097;28677;30711
ThierImManne;n/a;9079;12753;12753;13131;17096
Tomasz;12815;22161;30364;32405;38780;44367
rgdark2609;24142;28844;33066;34455;37754;39660
Windukeit;41678;47880;50134;50872;51702;54051
Syronir;18011;19112;19112;19412;20811;21964
Player 8b2;12231;14995;16155;16222;18179;19257
ChrisKing;18997;22101;25022;25405;26492;27293
JenFee;15941;16742;16742;16831;17777;18686
D-Bone;22933;26030;28133;29094;31082;33015
Nosica;7531;7631;7631;7631;7631;7631
SCOOP;27961;32802;35756;36874;37782;40976
Phoenix;14188;18739;22696;23965;27186;27772
Player c4d;63055;77153;87796;91083;99833;106174
Real-P;12906;13945;13945;14398;15085;16470
Mongo;26410;29814;32844;33441;36289;39931
Verbeuler;15591;16462;17270;17270;17813;18347
Mcleon;4896;4896;4896;4896;n/a;n/a
Paladyne;5652;5652;5652;5652;n/a;n/a
Knatata;45663;n/a;52724;53692;53925;54754
atkh21;55585;61887;66214;68780;72142;75190
Unknownhasi;n/a;n/a;n/a;n/a;1607;2703
